"PID","JAR","FORMAT","STEP","START","END","DURATION","ORDER","complexity_score","STEP_CODE","COMPLEXITY"
"P01","jar2","APP","Step 48",00:11:06.6,00:11:26.0,19.4000000953674,"BOOK_FIRST",5,"S48","medium"
"P01","jar2","APP","Step 49",00:11:26.4,00:12:07.0,40.5999999046326,"BOOK_FIRST",6,"S49","medium"
"P01","jar2","APP","Step 50",00:12:07.5,00:13:39.0,91.5,"BOOK_FIRST",4,"S50","low"
"P01","jar2","APP","Step 49",00:13:39.3,00:13:41.9,2.60000014305115,"BOOK_FIRST",6,"S49","medium"
"P01","jar2","APP","Step 48",00:13:41.9,00:13:49.3,7.39999985694885,"BOOK_FIRST",5,"S48","medium"
"P01","jar2","APP","Step 47",00:13:49.3,00:16:06.9,137.600000143051,"BOOK_FIRST",3,"S47","low"
"P01","jar2","APP","Step 46",00:16:06.9,00:16:15.7,8.79999995231628,"BOOK_FIRST",5,"S46","medium"
"P01","jar2","APP","Step 45",00:16:15.7,00:16:38.5,22.7999999523163,"BOOK_FIRST",10,"S45","high"
"P01","jar2","APP","Step 44",00:16:38.5,00:17:14.0,35.5,"BOOK_FIRST",3,"S44","low"
"P01","jar2","APP","Step 45",00:17:14.0,00:18:54.3,100.299999952316,"BOOK_FIRST",10,"S45","high"
"P01","jar2","APP","Step 46",00:18:54.8,00:19:22.0,27.2000000476837,"BOOK_FIRST",5,"S46","medium"
"P01","jar2","APP","Step 47",00:19:22.4,00:19:25.1,2.69999980926514,"BOOK_FIRST",3,"S47","low"
"P01","jar2","APP","Step 48",00:19:25.0,00:20:05.1,40.0999999046326,"BOOK_FIRST",5,"S48","medium"
"P01","jar2","APP","Step 49",00:20:05.6,00:20:55.3,49.7000000476837,"BOOK_FIRST",6,"S49","medium"
"P01","jar2","APP","Step 50",00:21:38.8,00:21:49.7,10.9000000953674,"BOOK_FIRST",4,"S50","low"
"P01","jar2","APP","Step 51",00:21:51.0,00:21:56.1,5.09999990463257,"BOOK_FIRST",8,"S51","medium"
"P01","jar2","APP","Step 52",00:21:56.5,00:22:01.2,4.70000004768372,"BOOK_FIRST",4,"S52","low"
"P01","jar2","APP","Step 53",00:22:01.6,00:22:28.2,26.6000001430511,"BOOK_FIRST",5,"S53","medium"
"P01","jar2","APP","Step 52",00:22:28.2,00:22:49.7,21.5,"BOOK_FIRST",4,"S52","low"
"P01","jar2","APP","Step 53",00:22:50.2,00:22:52.4,2.20000004768372,"BOOK_FIRST",5,"S53","medium"
"P01","jar2","APP","Step 54",00:22:52.8,00:23:15.3,22.5,"BOOK_FIRST",4,"S54","low"
"P01","jar2","APP","Step 55",00:23:15.8,00:23:27.7,11.9000000953674,"BOOK_FIRST",3,"S55","low"
